Date,NYCA,NYC,LI,G-J
2006-01-31,71.06360826001955,77.89208333333333,90.1311693548387,75.15009408602151
2006-02-28,66.31625811688312,72.22486607142858,93.18342261904762,69.28588169642856
2006-03-31,61.0631182795699,69.33099462365591,83.71802419354839,63.91185483870967
2006-04-30,60.44047414338095,66.2448956884562,87.30143254520168,63.21751043115438
2006-05-31,57.13639051808406,62.23413978494623,75.97524193548388,60.80079637096774
2006-06-30,60.84215782828283,67.67931944444445,85.03418055555555,64.92151736111111
2006-07-31,73.23458455522972,93.5997311827957,118.96678763440859,82.45788306451612
2006-08-31,77.48997556207233,100.24399193548388,120.4384811827957,87.45208333333335
2006-09-30,47.09700378787879,51.24061111111111,59.01125,49.085680555555555
2006-10-31,51.815797437461875,56.15622818791946,62.97829530201343,54.513818791946306
2006-11-30,61.141777777777776,67.55758333333333,78.14544444444445,64.9750138888889
2006-12-31,54.2349132453568,65.17001344086022,78.02422043010752,60.30313508064516
2007-01-31,59.01212976539589,68.38221774193549,81.57853494623656,64.7540557795699
2007-02-28,80.44821022727272,92.40985119047619,114.17142857142856,86.44999255952382
2007-03-31,69.05712100819773,78.51666218034993,86.08542395693136,76.20818304172275
2007-04-30,66.22120075757576,82.4293888888889,85.24672222222222,78.92545833333332
2007-05-31,64.26451001955034,75.51512096774194,94.56861559139786,72.91056787634409
2007-06-30,67.28851641414141,79.97633333333333,87.75790277777779,76.50053125000001
2007-07-31,63.422788367546424,73.87431451612903,75.73861559139785,70.95006048387097
2007-08-31,69.1590481427175,80.52662634408601,82.61743279569893,76.52786290322581
2007-09-30,57.918737373737365,64.24622222222222,69.3208611111111,62.79313194444444
2007-10-31,63.207283724340186,71.09129032258065,79.62825268817204,66.7624193548387
2007-11-30,63.52122557054595,68.22195561719833,75.33850208044383,66.45063453536754
2007-12-31,85.05048753665689,92.31270161290321,112.00905913978495,90.88530577956989
2008-01-31,78.59064516129033,95.19612903225806,107.69412634408602,90.13911962365592
2008-02-29,76.85793103448276,97.71899425287356,99.8717816091954,86.14808548850573
2008-03-31,79.56797748684693,92.5263391655451,99.45126514131897,87.4649596231494
2008-04-30,85.69127020202019,101.6616388888889,103.05068055555556,98.03318055555556
2008-05-31,81.8951600684262,108.05975806451613,113.28682795698924,100.29877688172043
2008-06-30,109.55899368686869,147.32644444444443,141.87602777777778,134.41174652777778
2008-07-31,114.05761363636363,147.7321639784946,144.27030913978496,134.92707661290325
2008-08-31,76.19327346041057,89.48487903225806,93.07623655913979,85.15492271505376
2008-09-30,70.51461237373738,78.57144444444445,89.4913611111111,75.33264930555556
2008-10-31,58.97844086021505,65.45020161290323,74.37892473118279,62.56056787634408
2008-11-30,58.79810364392888,65.5670319001387,65.90879334257974,62.71924063800277
2008-12-31,58.069882697947214,66.09942204301075,64.9517876344086,62.73792338709677
2009-01-31,68.6003848973607,75.21194892473119,81.39740591397849,72.72363239247312
2009-02-28,48.43054247835498,57.265877976190474,56.914702380952384,52.06970982142857
2009-03-31,41.350966597332686,48.68080753701211,50.775733512786005,45.77751009421265
2009-04-30,36.337667929292934,42.37329166666667,44.640708333333336,39.899625
2009-05-31,33.88633919843597,39.758870967741935,45.11448924731183,37.22955309139785
2009-06-30,34.33204545454545,41.18170833333333,43.490375,38.609125
2009-07-31,34.0741935483871,43.94228494623656,45.29544354838709,40.174731182795696
2009-08-31,35.39652370478983,47.00377688172043,44.86587365591398,42.20272177419355
2009-09-30,28.52792424242424,33.135,34.25673611111111,30.890975694444442
2009-10-31,36.30988880742913,41.90801075268817,45.199072580645165,39.91201612903226
2009-11-30,35.31698776951204,38.24456310679612,41.49238557558946,37.38893550624133
2009-12-31,50.41849095796677,56.22680107526882,70.49331989247311,54.25998991935484
2010-01-31,57.48242424242425,65.86231182795699,85.3143817204301,63.44545698924732
2010-02-28,47.45440746753247,55.640327380952385,68.483125,53.12126116071428
2010-03-31,36.87465067906522,42.258815612382236,46.38578734858681,40.42148384925976
2010-04-30,38.37805429292929,43.73630555555555,43.30656944444444,40.932874999999996
2010-05-31,43.15396871945259,49.13869623655914,51.320120967741936,46.77960349462366
2010-06-30,49.15521085858586,58.975138888888885,59.40983333333334,55.31224305555556
2010-07-31,61.77689149560118,74.75583333333333,75.90877688172043,69.32827620967741
2010-08-31,54.402380254154444,62.46677419354839,67.32038978494624,58.660954301075265
2010-09-30,45.01453156565657,49.89540277777778,51.26591666666666,47.99792708333333
2010-10-31,36.132099217986315,39.20114247311828,40.01739247311828,38.18806451612903
2010-11-30,42.77747446728029,45.21808599167823,46.35072122052705,44.89148751733703
2010-12-31,59.886975806451616,71.79264784946237,77.54995967741935,66.89228158602151
2011-01-31,65.15088220918867,78.13418010752689,85.51916666666666,73.54233198924732
2011-02-28,49.837265963203464,60.03816964285714,62.17473214285714,56.11506696428572
2011-03-31,43.05118683469962,50.36325706594886,50.69755047106325,47.362957604306864
2011-04-30,41.850737373737374,51.5075,48.93533333333334,45.31865277777778
2011-05-31,43.08965420332356,48.948991935483875,52.97853494623656,46.51536626344085
2011-06-30,48.4596351010101,57.90504166666666,64.11309722222222,55.63066319444445
2011-07-31,59.29036045943304,68.28805107526881,89.1646370967742,64.10172715053764
2011-08-31,46.5545637829912,52.97313172043011,61.258870967741935,50.242691532258064
2011-09-30,41.340671717171716,45.90054166666667,52.347902777777776,44.61202430555556
2011-10-31,39.223313782991205,42.89861559139785,46.27305107526882,41.35047379032258
2011-11-30,36.12329970999874,38.721081830790574,42.98650485436893,37.31076976421637
2011-12-31,36.01389051808406,38.6829435483871,46.23227150537634,37.06981182795699
2012-01-31,38.85508431085044,45.22099462365591,48.53963709677419,41.810268817204296
2012-02-29,30.2812552246604,33.121293103448274,34.869267241379305,31.804859913793102
2012-03-31,26.48695583017252,29.667092866756395,30.217133243606995,28.316800134589503
2012-04-30,26.071337121212125,28.595166666666668,29.16898611111111,27.311520833333333
2012-05-31,29.035013440860215,30.47657258064516,34.723360215053766,30.227298387096774
2012-06-30,36.39339898989899,40.42651388888889,49.194541666666666,39.905093750000006
2012-07-31,48.29423142717497,50.79733870967742,93.39341397849462,48.574976478494634
2012-08-31,38.6495491202346,42.05260752688172,54.35559139784946,40.33436155913978
2012-09-30,34.538460858585864,36.853944444444444,41.702305555555554,36.08807986111111
2012-10-31,35.99826124144673,37.79283602150537,45.42770161290323,36.92740255376344
2012-11-30,46.27028369688563,50.32113730929265,52.850929264909844,49.64363037447989
2012-12-31,39.90413856304986,45.53190860215054,49.54181451612903,45.01192204301075
2013-01-31,64.8399120234604,81.20072580645162,87.46654569892473,76.14296370967742
2013-02-28,69.10743506493507,90.66886904761905,114.59706845238095,86.65353050595239
2013-03-31,44.53043435702925,48.8171197846568,56.74145356662181,48.271917900403764
2013-04-30,40.8986351010101,43.940375,53.293305555555555,43.19965972222222
2013-05-31,43.26683773216031,45.25051075268817,72.63918010752688,43.75566196236559
2013-06-30,39.53447601010101,43.653055555555554,61.99809722222222,42.05569444444444
2013-07-31,51.93702468230695,60.144758064516125,78.03935483870967,55.92941532258064
2013-08-31,35.52264173998046,40.11592741935484,41.443561827956984,38.59375672043011
2013-09-30,36.87156691919192,39.88605555555556,45.80997222222222,39.221555555555554
2013-10-31,35.120351906158355,37.5505376344086,41.20543010752688,36.958958333333335
2013-11-30,37.83100617828774,40.823356449375865,46.51984743411928,40.62629334257975
2013-12-31,55.56969330400782,61.144758064516125,76.261061827957,61.256868279569886
2014-01-31,147.80215298142718,175.9170564516129,187.10647849462364,168.820436827957
2014-02-28,105.36127976190478,122.84252976190476,145.9401488095238,122.86168154761904
2014-03-31,95.06528692034749,102.52028263795425,108.42724091520861,102.39073351278601
2014-04-30,42.76997222222222,46.48694444444444,50.75048611111111,45.353993055555556
2014-05-31,35.2274633431085,37.3116935483871,48.8875,36.918659274193544
2014-06-30,38.0427803030303,39.95455555555555,44.74836111111111,39.75892361111111
2014-07-31,37.23469208211144,39.788252688172044,46.54662634408602,39.32826948924731
2014-08-31,30.83884530791789,32.09967741935484,37.00327956989247,31.87668010752688
2014-09-30,31.19265151515152,32.90668055555556,38.07175,32.76746180555556
2014-10-31,30.29791911045944,32.08587365591398,38.3572311827957,31.94288306451613
2014-11-30,37.90991173874669,41.287004160887655,47.12024965325936,41.10871705963939
2014-12-31,34.189288856304984,36.22790322580645,42.37389784946237,36.129176747311824
2015-01-31,50.048558162267845,57.33954301075269,79.90663978494624,56.7786559139785
2015-02-28,96.59226866883118,112.33144345238095,128.75363095238095,111.93248139880953
2015-03-31,44.713069864186956,51.264576043068644,55.616298788694486,50.98135598923284
2015-04-30,25.189686868686866,27.53077777777778,30.394138888888886,27.11954513888889
2015-05-31,27.795577956989245,30.35465053763441,35.238911290322584,29.936243279569894
2015-06-30,22.810330808080806,24.949236111111112,30.719666666666665,24.392503472222224
2015-07-31,28.149596774193547,30.014032258064514,41.916881720430105,29.130897177419353
2015-08-31,28.31164589442815,31.09904569892473,36.18387096774193,30.23654569892473
2015-09-30,28.4630202020202,32.453180555555555,35.58358333333334,31.760423611111108
2015-10-31,25.60160801564027,27.680846774193547,35.1988440860215,27.201357526881722
2015-11-30,20.959169083343838,23.338446601941747,28.8325520110957,23.08629680998613
2015-12-31,17.88022238514174,20.24411290322581,23.86552419354839,20.141256720430107
2016-01-31,29.119224095796685,35.03755376344086,40.86307795698925,34.684499327956985
2016-02-29,24.219968652037622,29.605704022988505,33.07876436781609,29.00632183908046
2016-03-31,17.327510094212656,20.747537012113057,21.849946164199192,20.53235531628533
2016-04-30,24.81123737373737,28.621375,29.176041666666666,28.02095138888889
2016-05-31,19.602948435972632,23.454287634408605,24.77567204301075,22.674593413978496
2016-06-30,23.585073232323236,25.47336111111111,28.01088888888889,24.911416666666668
2016-07-31,33.08681818181818,35.42903225806452,44.48047043010753,34.13002688172043
2016-08-31,35.14809017595308,35.6356182795699,59.93243279569893,34.393027553763446
2016-09-30,25.372977272727272,27.014027777777777,37.122819444444445,26.390663194444443
2016-10-31,19.42211632453568,20.837459677419353,23.092204301075267,20.711256720430107
2016-11-30,23.643478754255455,25.620804438280164,28.358765603328706,25.402812066574203
2016-12-31,37.09152737047898,46.060913978494625,49.92111559139784,45.14651545698925
2017-01-31,35.59954423264907,40.641747311827956,44.50470430107527,40.05918346774193
2017-02-28,27.942035984848488,30.54791666666667,33.77379464285715,30.381049107142857
2017-03-31,30.254056038174475,36.03802153432032,38.34197846567968,35.71435733512786
2017-04-30,25.685734848484845,32.267541666666666,32.32380555555555,30.66802777777778
2017-05-31,24.99496456500489,31.614381720430107,34.68979838709677,28.641182795698924
2017-06-30,25.280713383838382,30.168513888888892,32.61380555555555,29.13110069444445
2017-07-31,29.041772971651998,33.57395161290323,38.551115591397846,30.742486559139785
2017-08-31,25.463141495601175,28.660336021505376,33.31653225806452,27.43954637096774
2017-09-30,23.317546717171716,26.25648611111111,31.036624999999997,24.98414236111111
2017-10-31,23.434281524926686,27.880026881720433,33.44557795698925,25.99139112903226
2017-11-30,26.80633715798764,29.966920943134536,34.13565880721221,29.525041608876563
2017-12-31,43.00994623655914,49.5447311827957,62.3079435483871,48.872110215053766
2018-01-31,78.10414222873901,96.57844086021505,99.85305107526881,90.44738239247312
2018-02-28,28.365240800865806,34.05172619047619,39.501875,31.50922619047619
2018-03-31,25.22829071332436,31.98207267833109,31.886662180349933,27.947436069986544
2018-04-30,31.171667929292926,34.772597222222224,37.967055555555554,33.83599652777778
2018-05-31,24.08045698924731,26.95952956989247,30.43908602150538,26.007452956989248
2018-06-30,26.31809722222222,29.79334722222222,32.582791666666665,28.4668125
2018-07-31,33.79319648093842,36.94158602150538,41.831948924731186,34.70676411290322
2018-08-31,35.379698191593356,39.35754032258064,48.08870967741935,36.697113575268816
2018-09-30,31.285347222222217,35.52283333333333,37.64151388888889,33.70190625
2018-10-31,31.492850684261967,34.700376344086024,41.79573924731183,33.913817204301075
2018-11-30,36.67546084982978,38.59839112343967,56.83076282940361,38.07761789181693
2018-12-31,35.42185239491691,38.6273252688172,47.694475806451614,38.090571236559136
2019-01-31,42.87408968719453,49.19670698924731,56.483521505376345,48.031055107526875
2019-02-28,29.331988636363636,33.07142857142857,37.405788690476186,31.90875744047619
2019-03-31,31.01294016884865,35.00258411843876,37.992691790040375,33.74261776581427
2019-04-30,24.53429166666666,28.81965277777778,29.41473611111111,26.809253472222224
2019-05-31,19.294871700879767,23.386236559139785,26.464314516129033,21.387291666666666
2019-06-30,19.900106060606063,23.411319444444448,26.030333333333335,22.20892361111111
2019-07-31,27.884297409579673,31.230510752688172,36.88290322580645,28.990396505376346
2019-08-31,24.020640273704785,26.590147849462365,28.985900537634407,25.244543010752686
2019-09-30,19.063310606060607,21.485791666666668,24.091638888888887,20.502940972222223
2019-10-31,18.195243157380254,19.863844086021505,22.879758064516132,19.181979166666665
2019-11-30,23.466039591476484,26.54908460471567,30.47332871012483,26.236792649098472
2019-12-31,24.667903225806455,28.52943548387097,37.27861559139785,27.41557123655914
2020-01-31,20.812616080156403,25.124529569892474,27.571586021505375,23.918235887096774
2020-02-29,18.606183385579936,21.26189655172414,23.854166666666668,20.152884339080458
2020-03-31,15.489850728006854,16.805881561238223,19.838748317631225,16.593092193808882
2020-04-30,14.089183080808082,15.527888888888889,18.904180555555556,15.395201388888887
2020-05-31,14.222025904203322,14.94747311827957,19.444233870967743,14.753474462365592
2020-06-30,17.961636363636362,19.784583333333334,22.270736111111113,19.06951388888889
2020-07-31,24.474810606060604,25.495698924731183,35.95873655913979,24.28324932795699
2020-08-31,21.774765395894427,23.448064516129033,33.24399193548387,22.227103494623655
2020-09-30,17.758237373737373,19.325958333333332,24.754847222222224,18.71827777777778
2020-10-31,18.296654447702835,19.58638440860215,29.15170698924731,19.131895161290323
2020-11-30,18.64474845542807,22.04044382801664,31.484535367545075,21.80513522884882
2020-12-31,28.27706133919844,33.0900940860215,48.548870967741934,32.97024193548387
2021-01-31,32.17379276637342,36.35392473118279,57.10061827956989,35.509818548387095
2021-02-28,53.477637987013004,64.7803869047619,81.91636904761906,62.537633928571424
2021-03-31,23.245979444512415,29.39850605652759,36.785921938088826,29.10544414535666
2021-04-30,18.703184343434344,24.5525,30.80551388888889,24.407302083333335
2021-05-31,21.068212365591396,26.10731182795699,30.070725806451613,25.899035618279573
2021-06-30,31.252560606060612,34.839333333333336,41.227152777777775,34.48059722222222
2021-07-31,37.241306207233634,42.00194892473118,51.282647849462364,40.354704301075266
2021-08-31,46.11906036168133,46.89611559139785,82.28217741935484,45.21437836021506
2021-09-30,42.080098484848484,48.407944444444446,59.59219444444444,46.85881944444444
2021-10-31,48.74962609970674,54.46807795698925,57.64577956989247,53.57637096774194
2021-11-30,49.82591350397176,57.1027600554785,61.07070735090153,56.51421636615811
2021-12-31,42.25970552297165,47.28817204301075,60.84712365591398,47.00310819892473
2022-01-31,119.6506243890518,138.43944892473118,142.371061827957,135.26441532258065
2022-02-28,82.54721185064935,94.62345238095239,107.60561011904763,93.21707961309525
2022-03-31,49.775808148782566,59.22530282637955,69.37558546433378,59.381541049798116
2022-04-30,51.731332070707076,64.879625,72.91118055555556,64.64252430555555
2022-05-31,59.46202590420332,78.57655913978495,97.57555107526882,78.08825268817203
2022-06-30,67.74493813131312,75.72388888888888,93.00908333333332,74.98761111111111
2022-07-31,84.74088954056697,93.58688172043011,112.11021505376344,91.98197580645163
2022-08-31,96.22861681329422,104.0958064516129,115.60159946236558,102.46026209677419
2022-09-30,70.97513636363637,79.96238888888888,82.15266666666666,78.21964583333333
2022-10-31,49.43363758553275,56.75770161290323,62.39442204301075,54.93784946236559
2022-11-30,45.593604841760175,57.91500693481276,67.13748959778086,57.63437933425798
2022-12-31,94.1122666177908,108.5736559139785,120.00696236559139,108.03598454301074
2023-01-31,39.41864736070381,42.774274193548386,52.135416666666664,42.571602822580644
2023-02-28,45.733993506493505,51.8369494047619,65.88665178571429,51.64467633928571
2023-03-31,28.351318977119785,33.97734858681023,38.68518169582772,33.88152759084792
2023-04-30,25.71737752525253,30.301555555555556,31.19736111111111,30.119243055555554
2023-05-31,21.988491161616164,25.686944444444446,28.93023148148148,25.463605324074077
